M=0.2,,M=0.4,,M=0.6,,M=0.8,,M=0.9,
alpha,cd,alpha,cd,alpha,cd,alpha,cd,alpha,cd
-15.05903188,0.30449827,-15.00590319,0.294117647,-15.00590319,0.237024221,-15.00590319,0.297577855,-15.00590319,0.46366782
-14.04958678,0.285467128,-13.99645809,0.275086505,-13.99645809,0.21799308,-13.9433294,0.273356401,-13.99645809,0.42733564
-13.04014168,0.257785467,-12.98701299,0.249134948,-12.98701299,0.200692042,-12.98701299,0.250865052,-12.98701299,0.392733564
-12.08382527,0.23183391,-12.03069658,0.223183391,-11.97756789,0.183391003,-11.97756789,0.230103806,-11.97756789,0.359861592
-11.07438017,0.212802768,-10.96812279,0.193771626,-10.96812279,0.167820069,-10.96812279,0.207612457,-10.96812279,0.328719723
-10.06493506,0.197231834,-10.01180638,0.173010381,-9.958677686,0.153979239,-9.958677686,0.186851211,-9.958677686,0.297577855
-9.055489965,0.1816609,-8.949232586,0.162629758,-8.949232586,0.140138408,-8.949232586,0.169550173,-9.002361275,0.269896194
-8.152302243,0.166089965,-7.939787485,0.148788927,-7.992916175,0.126297578,-7.992916175,0.152249135,-7.992916175,0.240484429
-7.089728453,0.150519031,-6.930342385,0.131487889,-6.983471074,0.114186851,-6.983471074,0.136678201,-6.983471074,0.214532872
-6.133412043,0.133217993,-5.920897285,0.117647059,-5.974025974,0.103806228,-5.974025974,0.121107266,-5.974025974,0.188581315
-5.123966942,0.114186851,-4.964580874,0.107266436,-4.964580874,0.093425606,-4.964580874,0.107266436,-4.964580874,0.164359862
-4.167650531,0.102076125,-4.008264463,0.089965398,-4.008264463,0.083044983,-3.955135773,0.095155709,-3.955135773,0.141868512
-3.051948052,0.096885813,-2.998819362,0.079584775,-2.998819362,0.074394464,-2.998819362,0.08650519,-2.998819362,0.121107266
-2.042502952,0.096885813,-1.989374262,0.065743945,-1.989374262,0.064013841,-2.042502952,0.076124567,-1.989374262,0.105536332
-1.086186541,0.096885813,-0.979929162,0.055363322,-0.979929162,0.055363322,-0.979929162,0.069204152,-0.979929162,0.091695502
-0.07674144,0.096885813,-0.023612751,0.058823529,0.029515939,0.055363322,0.029515939,0.069204152,0.029515939,0.081314879
0.93270366,0.098615917,1.038961039,0.060553633,1.038961039,0.058823529,0.985832349,0.067474048,1.038961039,0.079584775
1.94214876,0.100346021,2.048406139,0.065743945,1.99527745,0.062283737,1.99527745,0.07266436,1.99527745,0.103806228
2.898465171,0.102076125,3.00472255,0.069204152,3.00472255,0.065743945,3.00472255,0.08650519,3.00472255,0.129757785
3.907910272,0.105536332,4.06729634,0.076124567,4.014167651,0.074394464,4.014167651,0.102076125,4.014167651,0.155709343
4.917355372,0.10899654,5.023612751,0.083044983,5.023612751,0.081314879,5.023612751,0.117647059,5.023612751,0.1816609
5.926800472,0.114186851,5.979929162,0.091695502,6.033057851,0.098615917,6.033057851,0.136678201,6.033057851,0.207612457
6.936245573,0.12283737,7.042502952,0.100346021,7.042502952,0.112456747,7.042502952,0.155709343,7.042502952,0.233564014
7.892561983,0.129757785,7.998819362,0.112456747,7.998819362,0.131487889,7.998819362,0.176470588,8.051948052,0.261245675
8.848878394,0.141868512,9.008264463,0.129757785,9.008264463,0.150519031,9.008264463,0.200692042,9.008264463,0.290657439
9.911452184,0.152249135,10.01770956,0.148788927,10.01770956,0.171280277,10.01770956,0.223183391,10.01770956,0.323529412
10.92089728,0.186851211,11.02715466,0.169550173,11.02715466,0.193771626,11.02715466,0.249134948,11.02715466,0.356401384
11.8772137,0.219723183,12.03659976,0.190311419,12.03659976,0.216262976,12.03659976,0.275086505,12.03659976,0.39100346
12.83353011,0.250865052,12.99291617,0.221453287,13.04604486,0.240484429,13.04604486,0.301038062,13.04604486,0.429065744
13.84297521,0.292387543,14.05548996,0.302768166,14.05548996,0.275086505,14.00236128,0.330449827,14.05548996,0.467128028
14.85242031,0.342560554,14.79929162,0.344290657,15.01180638,0.335640138,15.01180638,0.358131488,15.01180638,0.506920415
15.80873672,0.39100346,15.75560803,0.392733564,16.02125148,0.3183391,16.02125148,0.387543253,16.02125148,0.546712803
16.9244392,0.430795848,16.97756789,0.418685121,16.97756789,0.344290657,17.03069658,0.418685121,17.03069658,0.589965398
17.88075561,0.441176471,17.98701299,0.416955017,18.04014168,0.371972318,18.04014168,0.44982699,18.04014168,0.633217993
18.9433294,0.420415225,18.99645809,0.365051903,18.99645809,0.399653979,19.04958678,0.480968858,18.99645809,0.676470588
19.9527745,0.365051903,20.05903188,0.39100346,20.00590319,0.42733564,20.00590319,0.51384083,20.00590319,0.721453287
